0.59	0.64	0.62	0.46	0.62	0.51	0.63	0.59	0.61	0.63	0.59	0.63	0.65	0.64	0.66	0.64	0.65	0.63	0.64	0.65	0.64	0.56	0.63	0.62	0.57	1.0	0.65	0.62	0.61	0.64	0.58	0.5	0.56	0.5	0.54	0.62	0.18	0.52	0.31	0.43	0.46	0.61	0.44	0.58	0.56	0.58	0.55	0.47	0.56	0.27	0.55	0.53	0.53	0.58	0.55	0.53	0.5	0.52	0.54	0.55	0.55	0.53	0.55	0.55	0.54	0.57	0.56	0.56	0.59	0.6	0.6	0.6	0.57	0.55	0.6	0.64	0.6	0.6	0.62	0.59	0.61	0.61	0.61	0.62	0.62	0.61	0.6	0.51	0.55	0.56	0.58	0.59	0.62	0.63	0.61	0.64	0.56	0.56	0.57
0.59	0.64	0.62	0.45	0.63	0.51	0.62	0.59	0.6	0.63	0.58	0.64	0.65	0.64	0.66	0.63	0.64	0.64	0.63	0.65	0.64	0.56	0.63	0.62	0.57	0.65	1.0	0.61	0.61	0.64	0.58	0.51	0.56	0.5	0.54	0.63	0.18	0.52	0.3	0.42	0.45	0.6	0.43	0.58	0.55	0.57	0.55	0.47	0.55	0.27	0.54	0.53	0.53	0.58	0.55	0.52	0.5	0.53	0.54	0.54	0.54	0.52	0.55	0.55	0.54	0.57	0.56	0.56	0.59	0.59	0.6	0.6	0.57	0.55	0.6	0.64	0.6	0.6	0.62	0.59	0.61	0.61	0.6	0.62	0.62	0.6	0.6	0.51	0.56	0.56	0.57	0.58	0.62	0.63	0.62	0.63	0.56	0.56	0.56
0.56	0.61	0.59	0.45	0.59	0.5	0.59	0.57	0.57	0.6	0.57	0.6	0.62	0.61	0.63	0.61	0.61	0.6	0.6	0.62	0.6	0.54	0.6	0.59	0.55	0.62	0.61	1.0	0.58	0.61	0.55	0.5	0.54	0.48	0.52	0.6	0.19	0.51	0.31	0.41	0.45	0.58	0.42	0.55	0.53	0.55	0.52	0.46	0.53	0.25	0.53	0.5	0.51	0.55	0.53	0.5	0.48	0.5	0.5	0.52	0.52	0.51	0.52	0.53	0.52	0.54	0.54	0.53	0.56	0.56	0.57	0.57	0.54	0.53	0.57	0.59	0.56	0.56	0.58	0.56	0.56	0.58	0.56	0.58	0.58	0.57	0.56	0.49	0.52	0.53	0.53	0.54	0.6	0.6	0.59	0.6	0.53	0.53	0.54
0.56	0.6	0.58	0.45	0.59	0.51	0.59	0.56	0.57	0.59	0.56	0.6	0.61	0.61	0.62	0.6	0.6	0.6	0.6	0.61	0.6	0.54	0.59	0.59	0.55	0.61	0.61	0.58	1.0	0.6	0.55	0.49	0.53	0.49	0.52	0.59	0.19	0.5	0.31	0.42	0.45	0.57	0.42	0.54	0.53	0.54	0.52	0.45	0.53	0.26	0.52	0.5	0.51	0.54	0.52	0.51	0.48	0.5	0.51	0.52	0.52	0.51	0.53	0.52	0.52	0.54	0.53	0.53	0.56	0.56	0.56	0.56	0.53	0.52	0.56	0.59	0.56	0.55	0.57	0.55	0.56	0.56	0.56	0.57	0.57	0.56	0.56	0.5	0.52	0.53	0.54	0.55	0.59	0.59	0.58	0.59	0.53	0.53	0.54
0.58	0.63	0.61	0.46	0.62	0.51	0.62	0.59	0.6	0.63	0.58	0.62	0.64	0.64	0.65	0.63	0.63	0.63	0.63	0.65	0.64	0.56	0.62	0.61	0.58	0.64	0.64	0.61	0.6	1.0	0.57	0.5	0.56	0.49	0.54	0.62	0.18	0.51	0.31	0.43	0.45	0.6	0.43	0.58	0.55	0.57	0.55	0.47	0.55	0.27	0.54	0.52	0.52	0.57	0.54	0.52	0.49	0.52	0.53	0.54	0.54	0.52	0.55	0.55	0.54	0.56	0.56	0.55	0.59	0.59	0.59	0.59	0.56	0.54	0.6	0.63	0.59	0.6	0.6	0.58	0.6	0.6	0.59	0.61	0.61	0.6	0.59	0.51	0.55	0.56	0.56	0.58	0.61	0.63	0.61	0.63	0.56	0.55	0.56
0.54	0.57	0.55	0.45	0.56	0.49	0.56	0.55	0.56	0.56	0.54	0.57	0.57	0.58	0.58	0.57	0.57	0.57	0.57	0.58	0.57	0.52	0.57	0.56	0.53	0.58	0.58	0.55	0.55	0.57	1.0	0.48	0.52	0.47	0.5	0.56	0.2	0.49	0.31	0.42	0.44	0.55	0.42	0.52	0.5	0.52	0.5	0.44	0.51	0.26	0.49	0.48	0.49	0.52	0.5	0.49	0.46	0.49	0.49	0.49	0.5	0.49	0.5	0.5	0.5	0.52	0.51	0.51	0.53	0.53	0.53	0.53	0.51	0.5	0.54	0.55	0.54	0.53	0.54	0.53	0.53	0.54	0.54	0.54	0.54	0.53	0.53	0.48	0.5	0.5	0.51	0.51	0.57	0.56	0.56	0.57	0.51	0.5	0.51
0.49	0.5	0.49	0.41	0.49	0.45	0.5	0.48	0.49	0.5	0.48	0.51	0.51	0.5	0.5	0.49	0.5	0.5	0.49	0.5	0.5	0.46	0.5	0.5	0.47	0.5	0.51	0.5	0.49	0.5	0.48	1.0	0.48	0.43	0.45	0.5	0.19	0.44	0.3	0.39	0.4	0.49	0.37	0.45	0.44	0.45	0.44	0.37	0.44	0.21	0.45	0.43	0.43	0.45	0.44	0.43	0.41	0.43	0.43	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.46	0.45	0.46	0.46	0.44	0.44	0.46	0.46	0.46	0.45	0.46	0.46	0.46	0.45	0.46	0.45	0.45	0.46	0.46	0.43	0.42	0.44	0.44	0.43	0.49	0.5	0.49	0.5	0.44	0.44	0.45
0.53	0.55	0.55	0.45	0.54	0.47	0.55	0.52	0.53	0.54	0.53	0.56	0.56	0.55	0.56	0.55	0.55	0.55	0.55	0.56	0.55	0.5	0.55	0.55	0.52	0.56	0.56	0.54	0.53	0.56	0.52	0.48	1.0	0.46	0.49	0.55	0.19	0.48	0.31	0.4	0.43	0.53	0.4	0.5	0.49	0.5	0.48	0.41	0.49	0.25	0.48	0.47	0.47	0.51	0.48	0.46	0.45	0.47	0.48	0.48	0.49	0.47	0.49	0.48	0.49	0.5	0.49	0.49	0.51	0.51	0.52	0.51	0.49	0.48	0.51	0.53	0.52	0.51	0.52	0.51	0.51	0.52	0.51	0.51	0.52	0.51	0.51	0.47	0.47	0.48	0.49	0.48	0.54	0.55	0.54	0.55	0.49	0.49	0.49
0.48	0.49	0.5	0.4	0.48	0.43	0.49	0.47	0.48	0.48	0.48	0.49	0.5	0.5	0.49	0.48	0.49	0.48	0.49	0.49	0.49	0.46	0.5	0.49	0.46	0.5	0.5	0.48	0.49	0.49	0.47	0.43	0.46	1.0	0.44	0.49	0.19	0.43	0.29	0.37	0.4	0.47	0.36	0.44	0.44	0.46	0.43	0.38	0.45	0.22	0.43	0.43	0.43	0.45	0.43	0.42	0.41	0.43	0.42	0.42	0.45	0.42	0.44	0.43	0.44	0.45	0.44	0.43	0.45	0.45	0.45	0.46	0.43	0.43	0.46	0.46	0.45	0.45	0.46	0.44	0.45	0.45	0.45	0.44	0.45	0.45	0.45	0.43	0.43	0.43	0.44	0.42	0.49	0.49	0.48	0.49	0.44	0.43	0.45
0.51	0.54	0.53	0.41	0.53	0.46	0.53	0.51	0.51	0.54	0.51	0.53	0.54	0.54	0.55	0.54	0.54	0.54	0.54	0.55	0.53	0.49	0.53	0.53	0.5	0.54	0.54	0.52	0.52	0.54	0.5	0.45	0.49	0.44	1.0	0.53	0.17	0.45	0.3	0.4	0.41	0.52	0.39	0.5	0.47	0.49	0.47	0.41	0.48	0.24	0.47	0.46	0.45	0.5	0.47	0.45	0.43	0.46	0.46	0.48	0.48	0.47	0.47	0.47	0.47	0.48	0.48	0.48	0.49	0.49	0.5	0.5	0.48	0.47	0.51	0.52	0.5	0.5	0.52	0.49	0.5	0.51	0.51	0.51	0.51	0.5	0.5	0.45	0.47	0.47	0.48	0.48	0.53	0.53	0.52	0.53	0.48	0.49	0.48
